workload,size,lang,ok,alloc_objects_per_op,alloc_bytes_per_op,peak_live_bytes,live_bytes_end
io.write-seq,100MiB,rust,True,0.0,0.0,1086185.0,1083264.0
io.write-seq,10MiB,rust,True,0.0,0.0,1087975.0,1085054.0
io.write-seq,1GiB,rust,True,0.0,0.0,1085963.0,1083042.0
json.decode,arr-100k,rust,True,974696.0,89060681.0,161688375.0,94579495.0
json.decode,arr-10k,rust,True,97587.0,10460648.0,16787292.0,10257973.0
json.decode,arr-1k,rust,True,9778.0,749724.0,1458974.0,934670.0
json.decode,obj-100KiB,rust,True,1827.0,170371.0,422550.0,291462.0
json.decode,obj-10KiB,rust,True,197.0,19445.0,106009.0,89609.0
json.decode,obj-1KiB,rust,True,25.0,1519.0,70978.0,68071.0
json.decode,obj-1MiB,rust,True,18578.0,2286573.0,4744884.0,2647716.0
json.decode-dynamic,arr-100k,rust,True,2874696.0,234935561.0,498457599.0,267716343.0
json.decode-dynamic,arr-10k,rust,True,287587.0,23685736.0,50051244.0,26889797.0
json.decode-dynamic,arr-1k,rust,True,28778.0,2328572.0,5021305.0,2725502.0
json.decode-dynamic,obj-100KiB,rust,True,5809.0,437022.0,1024944.0,596241.0
json.decode-dynamic,obj-10KiB,rust,True,595.0,44848.0,162789.0,119092.0
json.decode-dynamic,obj-1KiB,rust,True,71.0,5052.0,76480.0,71428.0
json.decode-dynamic,obj-1MiB,rust,True,59264.0,4553878.0,9958996.0,5536317.0
json.decode-fast,arr-100k,rust,True,974697.0,89061025.0,161688380.0,94579500.0
json.decode-fast,arr-10k,rust,True,97588.0,10460992.0,16787469.0,10257978.0
json.decode-fast,arr-1k,rust,True,9779.0,750068.0,1458979.0,934675.0
json.decode-fast,obj-100KiB,rust,True,1827.0,170371.0,422555.0,291467.0
json.decode-fast,obj-10KiB,rust,True,197.0,19445.0,106014.0,89614.0
json.decode-fast,obj-1KiB,rust,True,25.0,1519.0,70983.0,68076.0
json.decode-fast,obj-1MiB,rust,True,18578.0,2286573.0,4744889.0,2647721.0
json.decode.go-legacyjson,arr-100k,rust,True,974696.0,89060681.0,161688375.0,94579495.0
json.decode.go-legacyjson,arr-10k,rust,True,97587.0,10460648.0,16787292.0,10257973.0
json.decode.go-legacyjson,arr-1k,rust,True,9778.0,749724.0,1458974.0,934670.0
json.decode.go-legacyjson,obj-100KiB,rust,True,1827.0,170371.0,422550.0,291462.0
json.decode.go-legacyjson,obj-10KiB,rust,True,197.0,19445.0,106009.0,89609.0
json.decode.go-legacyjson,obj-1KiB,rust,True,25.0,1519.0,70978.0,68071.0
json.decode.go-legacyjson,obj-1MiB,rust,True,18578.0,2286573.0,4744372.0,2647204.0
json.encode,arr-100k,rust,True,20.0,134217600.0,228797279.0,161688415.0
json.encode,arr-10k,rust,True,16.0,8388480.0,18647373.0,14453069.0
json.encode,arr-1k,rust,True,13.0,1048448.0,1983270.0,1458982.0
json.encode,obj-100KiB,rust,True,11.0,262016.0,553630.0,422558.0
json.encode,obj-10KiB,rust,True,8.0,32640.0,122401.0,106017.0
json.encode,obj-1KiB,rust,True,5.0,3968.0,73050.0,70143.0
json.encode,obj-1MiB,rust,True,15.0,4194176.0,6842044.0,4744892.0
json.encode-fast,arr-100k,rust,True,20.0,134217600.0,228797284.0,161688420.0
json.encode-fast,arr-10k,rust,True,16.0,8388480.0,18647378.0,14453074.0
json.encode-fast,arr-1k,rust,True,13.0,1048448.0,1983275.0,1458987.0
json.encode-fast,obj-100KiB,rust,True,11.0,262016.0,553635.0,422563.0
json.encode-fast,obj-10KiB,rust,True,8.0,32640.0,122406.0,106022.0
json.encode-fast,obj-1KiB,rust,True,5.0,3968.0,73055.0,70148.0
json.encode-fast,obj-1MiB,rust,True,15.0,4194176.0,6842049.0,4744897.0
json.encode.go-legacyjson,arr-100k,rust,True,20.0,134217600.0,228797279.0,161688415.0
json.encode.go-legacyjson,arr-10k,rust,True,16.0,8388480.0,18647373.0,14453069.0
json.encode.go-legacyjson,arr-1k,rust,True,13.0,1048448.0,1983270.0,1458982.0
json.encode.go-legacyjson,obj-100KiB,rust,True,11.0,262016.0,553630.0,422558.0
json.encode.go-legacyjson,obj-10KiB,rust,True,8.0,32640.0,122401.0,106017.0
json.encode.go-legacyjson,obj-1KiB,rust,True,5.0,3968.0,73050.0,70143.0
json.encode.go-legacyjson,obj-1MiB,rust,True,15.0,4194176.0,6841532.0,4744380.0
mem.binarytrees,d16,rust,True,14985902.0,239774432.0,4228642.0,34354.0
mem.binarytrees,d18,rust,True,68332206.0,1093315296.0,16811554.0,34354.0
mem.binarytrees.go-nogreentea,d18,rust,True,68332206.0,1093315296.0,16811554.0,34354.0
mem.bytes,100MiB,rust,True,1.0,104857600.0,104891974.0,34374.0
mem.bytes,1GiB,rust,True,1.0,1073741824.0,1073776200.0,34376.0
