workload,size,category,track,variant_of,unit,mode_timing,valid,invalid_reason,excluded_runs,go_n,go_median_ns,go_mean_ns,go_min_ns,go_max_ns,go_std_between_runs_ns,go_cv_within_run,go_throughput_per_s,go_peak_rss_kb,go_rss_avg_measure_kb,go_cpu_util,go_cpu_ns_per_op,go_sys_ns_per_op,go_threads_max,go_op_p50_ns,rust_n,rust_median_ns,rust_mean_ns,rust_min_ns,rust_max_ns,rust_std_between_runs_ns,rust_cv_within_run,rust_throughput_per_s,rust_peak_rss_kb,rust_rss_avg_measure_kb,rust_cpu_util,rust_cpu_ns_per_op,rust_sys_ns_per_op,rust_threads_max,rust_op_p50_ns,go_alloc_objects_per_op,go_alloc_bytes_per_op,go_gc_cycles,go_gc_cpu_fraction,go_gc_pause_max_ns,rust_alloc_objects_per_op,rust_alloc_bytes_per_op,rust_peak_live_bytes,ratio_rust_over_go,ratio_ci_low,ratio_ci_high,p_value,significant,verdict,abs_diff_ns,pct_diff,mem_pct_diff,cpu_pct_diff,go_op_p95_ns,go_op_p99_ns,go_op_p99.9_ns,go_op_max_ns,rust_op_p95_ns,rust_op_p99_ns,rust_op_p99.9_ns,rust_op_max_ns
json.decode.go-legacyjson,arr-10k,json,tuned,json.decode,bytes,op,True,,0,10,61516311.0,63663419.65294118,54618536.0,104129783.0,2577156.3633160274,0.05418139489718355,59555539.73579593,38842.0,32425.640677823743,0.9945113696225684,61913066.17647059,1287650.0,3.0,61603839.5,10,15995804.75,16609093.792900642,15142042.0,29493698.0,241314.7371811402,0.10166561039923683,229035515.3239804,24648.0,20990.0,0.9883430109278011,16404300.273224045,58.21061405946096,1.0,15925247.5,118896.0,12250809.94117647,16.0,0.05710674928568113,117793.0,97587.0,10460648.0,16787292.0,0.2600254223631843,0.2519134726168367,0.26434470273915683,0.00018267179110955002,True,rust_faster,-45520506.25,-73.99745776368157,-36.54291746048092,-73.50430000273784,74973183.5,88604671.5,104333311.5,104129783.0,21889023.5,26869759.5,29491199.5,29493698.0
json.decode.go-legacyjson,arr-1k,json,tuned,json.decode,bytes,op,True,,0,10,6158081.5,6395126.103523162,4798876.0,15453691.0,117330.4827187339,0.20284768819528107,59203156.41410801,9968.0,8765.569647517277,0.9953990839905151,6328903.793437071,64376.28953154067,3.0,6193151.5,10,1501591.5833333333,1580708.056919916,1446010.1666666667,2866923.5,25904.34223103398,0.1434947372652985,242791326.9603185,4864.0,4512.0,0.986013679767882,1563007.4840528113,3.910004368719965,1.0,1482751.5,11945.0,907017.4950251863,64.5,0.03313985704533918,113206.0,9778.0,749724.0,1458974.0,0.2438408103779291,0.23904341289609277,0.24860706470336796,0.00018267179110955002,True,rust_faster,-4656489.916666667,-75.61591896220709,-51.20385232744783,-75.3036618178078,8585215.5,11206655.5,15269887.5,15453691.0,2342911.5,2703359.5,3686399.5,8460335.0
json.decode.go-legacyjson,obj-100KiB,json,tuned,json.decode,bytes,op,True,,0,10,1472392.75,1525384.7178799824,1231389.0,4074431.5,41051.959267923645,0.14658475178848762,69660777.9537909,9154.0,8744.976273990924,0.9930620355650748,1501877.6276276277,5457.300220574556,3.0,1335295.5,10,383307.75851851853,403233.8960897205,362523.51851851854,759894.3461538461,5030.313491181502,0.12201765417838828,267584284.3938005,3304.0,3136.0,0.9899762385927529,392947.2205173668,0.0,1.0,382975.5,2506.0,201160.1651917404,48.5,0.011994641950760391,130175.0,1827.0,170371.0,422550.0,0.26032983286457945,0.2542968819313355,0.2653397697159248,0.00018267179110955002,True,rust_faster,-1089084.9914814816,-73.96701671354207,-63.90648896657199,-73.83626912812677,2113535.5,2670591.5,4358143.5,9429752.0,585727.5,708607.5,2072575.5,5589518.0
json.decode.go-legacyjson,obj-10KiB,json,tuned,json.decode,bytes,op,True,,1,9,149874.53968253967,158555.01378981344,123275.69841269842,327124.88524590165,4399.560939863375,0.21759736696088247,69564850.8551491,8988.0,8633.16526557603,0.988368756928713,157321.85534591196,11.580688825387277,3.0,130559.5,10,27443.46378539082,28260.420300443726,26067.03216374269,80841.92063492064,411.13812737846285,0.10151723350943533,379908350.377529,2880.0,2724.0,0.9943541841644498,27796.863852848663,0.0,1.0,25983.5,274.0,22152.04078164826,47.0,0.009275789390289996,123927.0,197.0,19445.0,106009.0,0.18310957847490872,0.17753643819890197,0.18695846121924412,0.0002797002701866865,True,rust_faster,-122431.07589714885,-81.68904215250913,-67.95727636849132,-82.33121279193523,259071.5,374783.5,724991.5,2966703.0,44799.5,59135.5,132095.5,9342380.0
json.decode.go-legacyjson,obj-1KiB,json,tuned,json.decode,bytes,op,True,,0,10,15593.429563696234,16761.302939759982,13387.185430463576,39444.59364548495,714.3922869457273,0.20909385380321002,68568315.45420939,8570.0,8144.551181596618,0.9942372794975626,16707.008748201133,99.17356045429418,3.0,13119.5,10,2764.5459890109887,2864.130975368594,2675.2771679473108,5312.177317213586,47.34547187212635,0.09821541337075348,386682395.8922427,2812.0,2768.0,1.0012516748111326,2860.775237072463,0.0,1.0,2607.5,42.0,1880.0,38.5,0.007385494865205708,82872.0,25.0,1519.0,70978.0,0.17728915744405918,0.1734391971973811,0.18746469437005278,0.00018267179110955002,True,rust_faster,-12828.883574685246,-82.27108425559409,-67.18786464410735,-82.87679571975751,27519.5,50943.5,136191.5,5828896.0,3087.5,5663.5,32127.5,5146362.0
json.decode.go-legacyjson,obj-1MiB,json,tuned,json.decode,bytes,op,True,,0,10,16111616.0,16583104.443125034,12984207.0,31823904.0,308824.88080324116,0.13673725313039667,65087902.67513603,16096.0,12247.931140821394,0.9873851565633294,16239088.70967742,294172.4137931034,3.0,16056319.5,10,3779559.0,3877578.9701500693,3628976.5,9693741.5,29515.126316021324,0.051482921208521146,277458603.1857013,8194.0,7068.0,0.9942529187961253,3808571.333564654,7.604672681008559,1.0,3751935.5,25660.0,2379146.936596218,43.5,0.03204824684634496,79210.0,18578.0,2286573.0,4744372.0,0.23458596580256133,0.23175206214131383,0.2381376949071099,0.00018267179110955002,True,rust_faster,-12332057.0,-76.54140341974387,-49.09294234592445,-76.54689002779449,21364735.5,29753343.5,31850495.5,31823904.0,4358143.5,6651903.5,7634943.5,10921658.0
json.encode,arr-100k,json,baseline,,bytes,op,True,,0,10,161415769.0,165305046.64761904,146867108.0,222714644.0,6951513.071543699,0.07352898943532829,228673668.24411517,443518.0,387693.1394602703,0.994377882193366,161576928.57142857,5553511.904761905,3.0,160432127.5,10,72416213.25,74182874.64849818,68661183.0,104368118.0,3791896.541721602,0.045614677923074526,509710709.60036653,178830.0,160775.9338335183,0.9945609092117085,73035821.42857143,15122289.743589744,1.0,71827455.5,3.2857142857142856,36913219.428571425,2.0,0.01865245130045854,49022.0,20.0,134217600.0,228797279.0,0.4486315909445006,0.42226889542250456,0.46104589454320916,0.00018267179110955002,True,rust_faster,-88999555.75,-55.136840905549946,-59.67920129509964,-54.79811253109421,191889407.5,223346687.5,223346687.5,222714644.0,87556095.5,100139007.5,104333311.5,104368118.0
json.encode,arr-10k,json,baseline,,bytes,op,True,,0,10,14438500.75,15760058.659461066,13637045.0,35341315.0,264856.12199782167,0.1794748677754608,253739194.3084966,49956.0,47535.389130676034,0.9926812518228135,15628837.139423076,60619.76911976912,3.0,14483455.5,10,5578520.25,5715642.253274354,5073876.0,11800188.0,181853.64213892355,0.07531181150707518,656749853.7078525,23884.0,23674.0,0.9953179505281574,5716831.264367816,238.42243645924626,1.0,5537791.5,3.3384615384615386,3670087.0153846154,11.0,0.017797175391211346,82393.0,16.0,8388480.0,18647373.0,0.3863642317572342,0.37050018040745575,0.39251147003786296,0.00018267179110955002,True,rust_faster,-8859980.5,-61.36357682427658,-52.18992713587958,-63.421262801777154,23199743.5,25034751.5,35389439.5,35341315.0,6717439.5,8847359.5,10027007.5,11800188.0
json.encode,arr-1k,json,baseline,,bytes,op,True,,0,10,1615375.9,1614201.168383944,1349888.5,3350702.6666666665,77889.89401913702,0.14953458491316765,225689767.80774957,9562.0,9360.0,0.9970483562063441,1589353.1746031747,62.239583333333336,3.0,1400831.5,10,508090.1805555555,524798.8485390885,495423.05555555556,1157464.2777777778,7375.393508656944,0.09388073385370718,717534730.555421,4634.0,4500.0,0.9923642516269175,514880.65843621397,0.0,1.0,509951.5,3.2857142857142856,368707.4285714286,90.0,0.026945950657372493,62154.0,13.0,1048448.0,1983270.0,0.31453371351866494,0.3085394877195442,0.33019503490187346,0.00018267179110955002,True,rust_faster,-1107285.7194444444,-68.5466286481335,-51.53733528550512,-67.60438984464433,2572287.5,2867199.5,4882431.5,6053608.0,626687.5,905215.5,1597439.5,7677000.0
json.encode,obj-100KiB,json,baseline,,bytes,op,True,,0,10,419149.7081339713,428862.6635130597,342585.07692307694,874956.7777777778,12840.233394098941,0.11393635297758542,244702720.9220658,10458.0,8868.431536552831,0.9916186559419731,420273.78929481737,1679.136093303468,3.0,366591.5,10,138736.1690140845,141852.71670335758,135403.1857142857,292692.85714285716,879.7907006276904,0.05430518925726219,739295321.2706944,3352.0,3216.0,0.9964696038802356,140308.67104588315,0.0,1.0,134143.5,1.0748227910966635,106501.08794979457,87.0,0.01771932797427675,90681.0,11.0,262016.0,553630.0,0.3309943113922932,0.3286096446406171,0.34314116053120863,0.00018267179110955002,True,rust_faster,-280413.5391198868,-66.90056886077068,-67.94798240581373,-66.61493659138038,659455.5,929791.5,1548287.5,3122041.0,173055.5,236543.5,387071.5,2335800.0
json.encode,obj-10KiB,json,baseline,,bytes,op,True,,0,10,41753.11425120773,43309.73481012395,33779.80869565217,99859.75652173912,955.6292151398568,0.15728158083458998,249706040.99214032,9030.0,8884.993513751904,0.9933707860181877,43675.3257035078,262.5565128852145,3.0,33535.5,10,13315.886609330239,13993.192153928054,12936.079681274901,26623.350777934935,146.42305549370263,0.12732507967087245,782975932.5915952,2860.0,2704.0,0.9928039565673139,13848.038390174814,0.0,1.0,12607.5,1.0071428571428571,10880.485714285714,82.0,0.014486809970354252,457756.0,8.0,32640.0,122401.0,0.31891960272029457,0.31439909725372334,0.32275939860799835,0.00018267179110955002,True,rust_faster,-28437.22764187749,-68.10803972797054,-68.32779623477298,-68.2932223924718,72191.5,114175.5,261119.5,2717147.0,22143.5,35583.5,69119.5,3108608.0
json.encode,obj-1KiB,json,baseline,,bytes,op,True,,0,10,4725.993078471399,4758.613739977515,3667.801345059493,10868.311950336265,76.18147703054338,0.16928877864056957,226196175.73748878,9090.0,8865.551550122209,1.0050123204225596,4748.378780669744,38.446758405895714,3.0,3567.5,10,1567.0155091774373,1629.5041604386977,1530.466776950648,3161.7272727272725,23.236011487622832,0.09586018545094444,682188614.4574852,2828.0,2704.0,1.0164256859537684,1633.8259391715833,0.0,1.0,1495.5,1.0007559199533471,1152.0514025568277,79.5,0.012365897001478523,162415.0,5.0,3968.0,73050.0,0.3315738053692371,0.3285489299578469,0.33823675395884056,0.00018267179110955002,True,rust_faster,-3158.9775692939616,-66.84261946307629,-68.88888888888889,-65.59192063988759,7775.5,15295.5,63231.5,4373842.0,2095.5,2895.5,24447.5,3105561.0
json.encode,obj-1MiB,json,baseline,,bytes,op,True,,0,10,3869034.25,4425182.741173308,3639690.0,18285119.0,41156.26713231737,0.2771573474579504,271042063.82678044,18084.0,17106.0,0.992462176207112,4369267.543859649,12250.3465003465,3.0,3850239.5,10,1564977.3833333333,1628377.562941695,1478658.2,4307385.333333333,39071.38114440565,0.14089855890957304,670141385.0277448,8456.0,7910.0,0.9927215509432519,1625158.5559322033,0.0,1.0,1564671.5,1.3333333333333333,1056790.6666666667,37.5,0.019183602007195887,91626.0,15.0,4194176.0,6842044.0,0.40448785981497404,0.39312558596758174,0.4147707961307164,0.00018267179110955002,True,rust_faster,-2304056.8666666667,-59.5512140185026,-53.24043353240433,-62.804782732608814,6586367.5,8847359.5,11862015.5,18285119.0,2244607.5,2670591.5,4292607.5,8017345.0
json.encode-fast,arr-100k,json,tuned,json.encode,bytes,op,True,,0,10,86860442.0,93077841.57530303,80343133.0,133312743.0,3498074.4735202254,0.14878115336718262,424939546.7319717,463332.0,450057.4501519706,0.9908654933435779,91942909.0909091,3952454.5454545454,3.0,86507519.5,10,62972335.0,66020614.07995097,61233990.0,94421669.0,2400052.5380999683,0.06686789281183722,586153588.989476,178832.0,160536.15878708928,0.9924370165908767,65152931.25,15478182.352941178,1.0,63700991.5,2.4545454545454546,36913202.18181818,2.0,0.029426869473887007,55308.0,20.0,134217600.0,228797284.0,0.7249828984291837,0.7081524172957415,0.7779624624471512,0.00018267179110955002,True,rust_faster,-23888107.0,-27.501710157081632,-61.403054397278844,-29.13762258100877,122159103.5,130547711.5,133693439.5,133312743.0,78118911.5,92798975.5,94896127.5,94421669.0
json.encode-fast,arr-10k,json,tuned,json.encode,bytes,op,True,,0,10,7687245.5,8556380.879763769,6994127.0,27850467.0,432764.045311867,0.22608490415167742,476610424.1932039,61710.0,52355.005342081626,0.9935559734443629,8561588.056680162,90142.663476874,3.0,7634943.5,10,4847354.5,4943759.7672997,4346176.0,15529870.0,156808.1896216326,0.11689891282590861,755794814.0455415,23732.0,20308.0,0.9918941215447112,4858735.865219874,149.82418590429597,1.0,4816895.5,2.3124401913875596,3670061.245933014,18.0,0.05687194124856457,63293.0,16.0,8388480.0,18647378.0,0.6305710543523034,0.5905454587288997,0.6597071200038476,0.00018267179110955002,True,rust_faster,-2839891.0,-36.94289456476966,-61.5426997245179,-43.24959536649447,12517375.5,15663103.5,19529727.5,27850467.0,5865471.5,7766015.5,10944511.5,15529870.0
json.encode-fast,arr-1k,json,tuned,json.encode,bytes,op,True,,0,10,843733.9375,868592.5883154366,703847.0,1906460.4444444445,23463.118342430065,0.12713536140579912,432095044.18081784,15774.0,14571.573096413074,0.9955499608275984,843048.0959275602,3660.615016001433,3.0,757759.5,10,436834.4568181818,447931.8202783904,422720.5,752610.0454545454,5747.843988344405,0.05056509650719214,834578556.6976198,4672.0,4520.0,0.9949812065989734,443039.470253467,0.6613756613756614,1.0,440319.5,2.127662051303121,368672.6810194886,74.5,0.11349455077722884,135872.0,13.0,1048448.0,1983275.0,0.5177395828269403,0.4976109514298193,0.5273089434137344,0.00018267179110955002,True,rust_faster,-406899.4806818182,-48.22604171730596,-70.3816406745277,-47.447900968685,1236991.5,1875967.5,3129343.5,5536155.0,514047.5,733183.5,1433599.5,3284291.0
json.encode-fast,obj-100KiB,json,tuned,json.encode,bytes,op,True,,0,10,261894.45416666666,269008.50705345365,211395.08333333334,580445.3684210526,6416.9883196380315,0.15968806671077626,391638268.8478524,12022.0,11107.451437055472,0.9895203303779092,260414.36877076412,1095.763254503543,3.0,232447.5,10,114926.54113924051,118914.94646604487,109821.88636363637,265962.3176470588,2195.9241071768893,0.06011019798356288,892457145.7757834,3328.0,3216.0,0.993007749212796,115525.41237380501,0.0,1.0,110079.5,1.050355205068581,106499.42415394465,96.0,0.13449130697154835,141456.0,11.0,262016.0,553635.0,0.43882770066640114,0.42298124126534015,0.44455018608740166,0.00018267179110955002,True,rust_faster,-146967.91302742617,-56.117229933359894,-72.3174180668774,-55.63785020038623,399359.5,634879.5,1384447.5,5255750.0,152575.5,201727.5,544767.5,4831629.0
json.encode-fast,obj-10KiB,json,tuned,json.encode,bytes,op,True,,0,10,23859.523476890754,24561.70191160433,18731.334821428572,59786.48253968254,504.84243668525045,0.16935124632017476,436975812.77656037,11418.0,10119.49073157863,0.9928886955478283,24386.25704131712,186.15431613354335,3.0,18303.5,10,11099.388259572697,11493.744782230793,10738.77415730337,23130.21625,247.47640610284913,0.09224732609300998,939331193.764674,2864.0,2704.0,0.9934594167402803,11407.201468069563,0.0,1.0,10559.5,1.005938555351252,10880.403821763884,120.0,0.16464876504209125,288314.0,8.0,32640.0,122406.0,0.46519739886352124,0.460116310172057,0.47469301102528555,0.00018267179110955002,True,rust_faster,-12760.135217318057,-53.48026011364787,-74.91679803818532,-53.22282772324354,80383.5,98815.5,228351.5,4161269.0,15935.5,30591.5,58623.5,3430131.0
json.encode-fast,obj-1KiB,json,tuned,json.encode,bytes,op,True,,0,10,2447.663634484349,2566.5492705598863,1934.1203883495145,7418.289713086074,41.935347958726815,0.1647254167968934,436748304.66092,10982.0,9848.003795541103,1.0268996009644709,2630.688266960702,10.863300431890302,3.0,1751.5,10,1339.2197470568722,1396.62110215708,1295.2670815677966,3267.752606635071,30.66956465819143,0.09004659053086031,798242671.1819578,2828.0,2704.0,1.0171451438589068,1404.676904486284,0.0,1.0,1287.5,1.0006480704170075,1152.044073518578,126.5,0.16813887798185317,153959.0,5.0,3968.0,73055.0,0.5471420697636039,0.5386574766325757,0.5636303398546273,0.00018267179110955002,True,rust_faster,-1108.443887427477,-45.285793023639606,-74.24877071571663,-46.60420536602988,3567.5,13247.5,80383.5,5241573.0,1735.5,2351.5,20607.5,4017746.0
json.encode-fast,obj-1MiB,json,tuned,json.encode,bytes,op,True,,0,10,2481471.125,2753605.032512576,2327771.0,7986519.0,55861.31979261604,0.15731585487197708,422600879.1467796,22060.0,20128.867092323322,0.9911637435261009,2692325.552165068,126.64922987503633,3.0,2473983.5,10,1227129.6011904762,1280253.6017163636,1177389.4285714286,2904460.0,31954.33151467767,0.10108215051466107,854679288.8942807,7966.0,7462.0,0.9899694209876653,1269465.89096183,0.0,1.0,1236991.5,1.2486486486486486,1056784.9081081082,46.0,0.0774312827237941,104875.0,15.0,4194176.0,6842049.0,0.4945169777828772,0.48646343668805175,0.5100801139621227,0.00018267179110955002,True,rust_faster,-1254341.5238095238,-50.548302221712284,-63.88939256572983,-52.84872254987987,4177919.5,4751359.5,7962623.5,8165557.0,1564671.5,2039807.5,3719167.5,10033732.0
json.encode.go-legacyjson,arr-100k,json,tuned,json.encode,bytes,op,True,,0,10,124103029.25,132250180.875,113771413.0,184271988.0,3488795.4672908564,0.1163239480531878,297434857.0869688,473114.0,411764.7875863804,0.9942987670833204,131323437.5,6631812.5,3.0,124256255.5,10,71691868.25,74949948.29813188,69525866.0,116021048.0,1577558.9726742213,0.09888448962597052,514872410.28355634,178832.0,160542.26577491243,0.9842755874647175,73526642.85714285,14224214.285714285,1.0,71827455.5,2.5,36913210.0,2.0,0.02464044820331622,33695.0,20.0,134217600.0,228797279.0,0.577680244255601,0.5568466448699978,0.5990431727213655,0.00018267179110955002,True,rust_faster,-52411161.0,-42.23197557443989,-62.20107627337175,-44.01102784326457,160432127.5,183500799.5,183500799.5,184271988.0,92798975.5,102236159.5,115867647.5,116021048.0
json.encode.go-legacyjson,arr-10k,json,tuned,json.encode,bytes,op,True,,0,10,11049908.25,11820322.363943862,10230956.0,28594834.0,270926.6807743379,0.16657076408680724,331556764.17796236,49904.0,47296.0,0.9942752907351411,11596389.249492902,626.4367816091954,3.0,10944511.5,10,5619348.0,5814106.329841124,5102194.0,16048072.0,106700.32262395252,0.1490045861930588,651962882.8029041,23764.0,20304.0,0.9889941188463787,5736957.729138167,0.0,1.0,5603327.5,2.3333333333333335,3670062.6666666665,15.0,0.026282944528554876,53837.0,16.0,8388480.0,18647373.0,0.5085425030565299,0.4940518872805071,0.5239055565180036,0.00018267179110955002,True,rust_faster,-5430560.25,-49.14574969434701,-52.38057069573582,-50.52806864525492,16187391.5,23199743.5,28704767.5,28594834.0,7569407.5,9371647.5,13434879.5,16048072.0
