run_id,workload,tier,test,level,connections,rate_frac,target_rps,lang,impl,round,ok,flags,error,rps,requests,error_count,error_rate,lat_mean_us,lat_max_us,server_cpu_util,requests_per_cpu_second,server_rss_avg_kb,server_rss_peak_kb,server_hwm_kb,server_threads_max,loadgen_cpu_util,steal_server,server_ready_ms,lat_p50_us,lat_p75_us,lat_p90_us,lat_p95_us,lat_p99_us,lat_p99.9_us,lat_p99.99_us
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,rust,http-axum,0,True,,,13255.307642893771,397671,0,0.0,77.643,6526,0.5589925943887648,23712.85018075758,3388.0,3388,3712,3,0.4456642875175787,0.003959373386124979,8.879437,66,71,85,103,239,1746,4099
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,rust,http-axum,1,True,,,13055.654697861926,392973,0,0.0,83.155,6668,0.5579842303214811,23397.891890851366,3396.0,3396,3652,3,0.4413299051267633,0.005983928876731065,8.309308,67,73,88,108,386,2312,4364
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,rust,http-axum,2,True,,,12912.637196311909,387406,0,0.0,79.534,6588,0.5586546930816718,23113.807788998853,3596.0,3596,3676,3,0.4426628848353318,0.004299965600275198,8.237865,68,74,89,107,241,1714,4510
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,rust,http-axum,3,True,,,12843.981653311857,385333,0,0.0,88.008,19212,0.5576449705883835,23032.542801847365,3584.0,3584,3656,3,0.4459947788283232,0.004107479034742427,8.124146,69,74,88,106,274,3228,16209
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,rust,http-axum,4,True,,,13027.230406563078,392120,0,0.0,89.522,22383,0.5589918888739781,23304.86482157168,3452.0,3452,3652,3,0.44099658114460494,0.005157297576070139,8.604588,68,73,88,105,284,3752,19419
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,go,http,0,True,,,41566.36494948887,1251131,0,0.0,396.651,10990,1.614450778308554,25746.443005860845,12316.54000346493,12504,12872,6,0.7153273906079703,0.00928521373510862,7.895482,205,337,639,1706,4021,5323,8243
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,go,http,1,True,,,41324.76730555507,1243875,0,0.0,400.819,12759,1.621504995904993,25485.439397299502,12213.614794017985,12676,12732,6,0.7329937581916521,0.009761199233048632,7.791608,206,338,649,1777,4027,5175,7976
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,go,http,2,True,,,39881.27938712911,1200423,0,0.0,411.015,17317,1.602358535858427,24889.110954037278,12357.410854900361,12616,12624,6,0.7229973933051982,0.010452961672473868,8.0401,214,353,674,1795,4040,5001,9506
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,go,http,3,True,,,39070.0248886772,1173984,0,0.0,519.036,88340,1.5717667684101806,24857.393395710973,12448.153315798565,12652,12652,6,0.7066625602269737,0.010495014867937729,8.037961,218,363,728,2133,4266,40827,81203
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,go,http,4,True,,,40615.10439969749,1218764,0,0.0,408.671,12993,1.613105662006467,25178.204600173714,12346.957338996504,12688,12840,6,0.7143290477162115,0.01011333914559721,7.986172,211,346,660,1819,4057,5270,8668
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,rust,http-axum,0,True,,,70853.81545335462,2125971,0,0.0,146.185,10408,1.9283988658740656,36742.303009621115,3976.0,3976,4192,3,1.031657121087211,0.009256142712891283,8.283895,130,168,209,239,470,2814,5198
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,rust,http-axum,1,True,,,69395.9153758587,2082120,0,0.0,146.856,12123,1.929407529802276,35967.47411002918,3964.0,3964,4144,3,1.0296577461238174,0.009074105192404638,8.171292,133,171,213,243,412,2603,5477
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,rust,http-axum,2,True,,,68477.72356624801,2061179,0,0.0,151.434,11581,1.9284064763529958,35510.004973512194,3852.0,3852,4048,3,1.0416584821129191,0.010025062656641603,8.148511,134,173,216,246,427,3286,8262
