run_id,workload,target,build_track,scenario,lang,round,i,ok,time_s,peak_rss_kb,cpu_s
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,2,1,True,16.98354917962,401076,56.38
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,3,0,True,18.00409610912,403704,58.81
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,3,1,True,17.85931435712,401768,58.599999999999994
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,4,0,True,16.843830712,401424,56.480000000000004
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,4,1,True,17.633354103,402060,57.980000000000004
20260925T083500Z-native-vm,compile.http,http,release,edit,go,0,0,True,0.5617942967,152652,0.94
20260925T083500Z-native-vm,compile.http,http,release,edit,go,0,1,True,0.5358754247,149036,0.87
20260925T083500Z-native-vm,compile.http,http,release,edit,go,1,0,True,0.54949700318,151020,0.9199999999999999
20260925T083500Z-native-vm,compile.http,http,release,edit,go,1,1,True,0.51556857318,150892,0.84
20260925T083500Z-native-vm,compile.http,http,release,edit,go,2,0,True,0.5527631484200001,150984,0.91
20260925T083500Z-native-vm,compile.http,http,release,edit,go,2,1,True,0.5590121294200001,150852,0.94
20260925T083500Z-native-vm,compile.http,http,release,edit,go,3,0,True,0.55481680458,151196,0.95
20260925T083500Z-native-vm,compile.http,http,release,edit,go,3,1,True,0.53534090458,152580,0.92
20260925T083500Z-native-vm,compile.http,http,release,edit,go,4,0,True,0.5765555144,149360,0.95
20260925T083500Z-native-vm,compile.http,http,release,edit,go,4,1,True,0.6567811934,148840,1.09
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,0,0,True,2.39572002876,245616,6.84
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,0,1,True,2.4610928327600003,245152,6.67
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,1,0,True,2.4462655125,245156,6.73
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,1,1,True,2.4715480045,245132,6.8100000000000005
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,2,0,True,2.37806539476,245564,6.68
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,2,1,True,2.29990307576,245476,6.55
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,3,0,True,2.42196210532,244980,6.83
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,3,1,True,2.43961883832,245212,6.83
